Sales_Order,Opportunity_ID,Opportunity_Name,Stage,Amount,Close_Date,Probability,Sales_Person,Sales_Person_Email,Company_Name,Company_Industry,Contact_Name,Contact_Title,Contact_Email,Contact_Phone,Created_Date,Last_Modified_Date,Next_Step,Description,Type,Lead_Source,State,Zip_Code,Payment_Terms
5934,OPP-2024-0053,Valley School District Learning Management,Proposal/Price Quote,175000,8/15/2024,65,Michael Chang,mchang@company.com,Valley School District,Education,Thomas Rivera,Curriculum Director,trivera@valleyschools.org,555-345-9012,5/1/2024,5/18/2024,District Presentation,Learning management system for K-12 schools,New Business,Education Conference,AZ,18655,Net 60
5935,OPP-2024-0033,Metro Transit Authority Ticketing System,Proposal/Price Quote,350000,8/12/2024,65,Michael Chang,mchang@company.com,Metro Transit Authority,Transportation,Susan Williams,Ticketing Director,swilliams@metrotransit.gov,555-345-9012,4/20/2024,5/15/2024,Cost Analysis,Mobile ticketing system with contactless payment capabilities,New Business,RFP,OH,80905,Net 45
5936,OPP-2024-0017,Metropolitan University IT Support Contract,Qualification,320000,9/15/2024,35,Sarah Johnson,sjohnson@company.com,Metropolitan University,Education,Jennifer Adams,IT Director,jadams@metrouniversity.edu,555-789-3456,5/7/2024,5/14/2024,Campus Visit,3-year IT support contract for main and satellite campuses,New Business,Referral,NE,64696,Net 60
5937,OPP-2024-0017,Metropolitan University IT Support Contract,Qualification,320000,9/15/2024,35,Sarah Johnson,sjohnson@company.com,Metropolitan University,Education,Jennifer Adams,IT Director,jadams@metrouniversity.edu,555-789-3456,5/7/2024,5/14/2024,Campus Visit,3-year IT support contract for main and satellite campuses,New Business,Referral,NE,64696,Net 60
5938,OPP-2024-0092,Mountain State Government Portal,Decision Makers,315000,9/20/2024,70,Sarah Johnson,sjohnson@company.com,Mountain State Government,Government,Elizabeth Wilson,IT Director,ewilson@mountainstate.gov,555-234-8901,6/15/2024,6/20/2024,Executive Briefing,Citizen portal with online services and payments,New Business,RFP,MT,68222,Net 60
5939,OPP-2024-0068,Regional Transit Ticketing System,Qualification,225000,10/15/2024,30,Michael Chang,mchang@company.com,Regional Transit Authority,Transportation,Andrew Wilson,Fare Systems Manager,awilson@regionaltransit.org,555-890-4567,5/25/2024,5/30/2024,Needs Analysis,Mobile ticketing system with contactless payment,New Business,Industry Event,ND,53075,Net 45
5940,OPP-2024-0017,Metropolitan University IT Support Contract,Qualification,320000,9/15/2024,35,Sarah Johnson,sjohnson@company.com,Metropolitan University,Education,Jennifer Adams,IT Director,jadams@metrouniversity.edu,555-789-3456,5/7/2024,5/14/2024,Campus Visit,3-year IT support contract for main and satellite campuses,New Business,Referral,NE,64696,Net 60
5941,OPP-2024-0095,Precision Manufacturing Quality System,Negotiation/Review,325000,9/25/2024,85,David Martinez,dmartinez@company.com,Precision Manufacturing Inc.,Manufacturing,Robert Park,Quality Manager,rpark@precisionmfg.com,555-567-1234,6/25/2024,6/28/2024,Contract Finalization,Quality management system for precision manufacturing,New Business,Partner Referral,NV,73270,Net 45
5942,OPP-2024-0028,Seaside Restaurant Chain POS Upgrade,Qualification,95000,9/5/2024,20,Michael Chang,mchang@company.com,Seaside Restaurants Inc.,Food & Beverage,David Chen,Operations Director,dchen@seasiderestaurants.com,555-890-4567,5/12/2024,5/15/2024,Initial Meeting,Point-of-sale system upgrade for 12 restaurant locations,Upgrade,Cold Call,CT,26119,2% 10 Net 30
5943,OPP-2024-0068,Regional Transit Ticketing System,Qualification,225000,10/15/2024,30,Michael Chang,mchang@company.com,Regional Transit Authority,Transportation,Andrew Wilson,Fare Systems Manager,awilson@regionaltransit.org,555-890-4567,5/25/2024,5/30/2024,Needs Analysis,Mobile ticketing system with contactless payment,New Business,Industry Event,ND,53075,Net 45
5944,OPP-2024-0083,Midtown School District LMS,Proposal/Price Quote,325000,9/25/2024,60,Michael Chang,mchang@company.com,Midtown School District,Education,Thomas Wilson,Technology Director,twilson@midtownschools.org,555-345-9012,5/30/2024,6/10/2024,Budget Committee,Learning management system for K-12 education,New Business,Education Conference,CO,96587,Net 60
5945,OPP-2024-0017,Metropolitan University IT Support Contract,Qualification,320000,9/15/2024,35,Sarah Johnson,sjohnson@company.com,Metropolitan University,Education,Jennifer Adams,IT Director,jadams@metrouniversity.edu,555-789-3456,5/7/2024,5/14/2024,Campus Visit,3-year IT support contract for main and satellite campuses,New Business,Referral,NE,64696,Net 60
5946,OPP-2024-0043,Silver State Government Records System,Proposal/Price Quote,385000,8/30/2024,60,Michael Chang,mchang@company.com,Silver State Government,Government,Andrew Wilson,Records Manager,awilson@silverstate.gov,555-345-9012,4/15/2024,5/18/2024,Budget Approval,Electronic records management system with compliance features,New Business,RFP,ME,90519,Net 60
5947,OPP-2024-0003,Meridian Financial Services Upgrade,Proposal/Price Quote,210000,6/15/2024,60,Michael Chang,mchang@company.com,Meridian Financial Services,Financial Services,Jennifer Lawson,COO,jlawson@meridianfs.com,555-345-6789,4/15/2024,5/12/2024,Executive Presentation,Upgrading existing infrastructure to enterprise tier with added security features,Upgrade,Referral,IN,21304,2% 10 Net 30
5948,OPP-2024-0053,Valley School District Learning Management,Proposal/Price Quote,175000,8/15/2024,65,Michael Chang,mchang@company.com,Valley School District,Education,Thomas Rivera,Curriculum Director,trivera@valleyschools.org,555-345-9012,5/1/2024,5/18/2024,District Presentation,Learning management system for K-12 schools,New Business,Education Conference,AZ,18655,Net 60
5949,OPP-2024-0065,Regional Bank Fraud Detection,Negotiation/Review,285000,8/15/2024,90,David Martinez,dmartinez@company.com,Regional Banking Corporation,Financial Services,Elizabeth Wilson,Security Officer,ewilson@regionalbank.com,555-567-1234,5/20/2024,5/25/2024,Final Review,Fraud detection system with AI capabilities,New Business,Webinar,WI,95691,Net 30
5950,OPP-2024-0013,Evergreen Energy Monitoring Solution,Proposal/Price Quote,195000,7/15/2024,65,Michael Chang,mchang@company.com,Evergreen Energy Corp,Energy,Melissa Chen,Operations Director,mchen@evergreenenergy.com,555-345-9012,4/5/2024,5/14/2024,Technical Demonstration,Energy usage monitoring and optimization system,New Business,Webinar,LA,59991,Net 60
5951,OPP-2024-0036,Highland Brewery Production Management,Perception Analysis,175000,10/20/2024,15,Alex Rodriguez,arodriguez@company.com,Highland Brewery,Food & Beverage,Daniel Murphy,Production Manager,dmurphy@highlandbrewery.com,555-678-2345,5/18/2024,5/20/2024,Discovery Session,Production management and inventory control system,New Business,Trade Show,NC,45600,2% 10 Net 30
5952,OPP-2024-0004,GreenLeaf Retail POS System,Qualification,75000,7/10/2024,20,Emma Wilson,ewilson@company.com,GreenLeaf Retail,Retail,Robert Green,Operations Manager,rgreen@greenleaf.com,555-456-7890,5/10/2024,5/12/2024,Initial Meeting,New point-of-sale system deployment across 12 retail locations,New Business,Website,IL,45713,Net 30
5953,OPP-2024-0017,Metropolitan University IT Support Contract,Qualification,320000,9/15/2024,35,Sarah Johnson,sjohnson@company.com,Metropolitan University,Education,Jennifer Adams,IT Director,jadams@metrouniversity.edu,555-789-3456,5/7/2024,5/14/2024,Campus Visit,3-year IT support contract for main and satellite campuses,New Business,Referral,NE,64696,Net 60
5954,OPP-2024-0012,Summit Financial Advisory Services Renewal,Negotiation/Review,110000,5/30/2024,90,Sarah Johnson,sjohnson@company.com,Summit Financial Advisors,Financial Services,Andrew Morgan,Managing Partner,amorgan@summitfinancial.com,555-234-8901,4/25/2024,5/13/2024,Contract Finalization,Annual services renewal with expanded cybersecurity package,Renewal,Existing Customer,SC,49362,2% 10 Net 30
5955,OPP-2024-0004,GreenLeaf Retail POS System,Qualification,75000,7/10/2024,20,Emma Wilson,ewilson@company.com,GreenLeaf Retail,Retail,Robert Green,Operations Manager,rgreen@greenleaf.com,555-456-7890,5/10/2024,5/12/2024,Initial Meeting,New point-of-sale system deployment across 12 retail locations,New Business,Website,IL,45713,Net 30
5956,OPP-2024-0087,Alpine Resorts Booking System,Value Proposition,165000,11/15/2024,40,Sarah Johnson,sjohnson@company.com,Alpine Resorts Group,Hospitality,Michael Torres,Reservations Manager,mtorres@alpineresorts.com,555-789-3456,6/10/2024,6/15/2024,Demo Session,Reservation and property management system for ski resorts,New Business,Trade Show,WV,56465,Net 45
5957,OPP-2024-0046,Coastal Shipping Terminal Management,Perception Analysis,275000,11/10/2024,20,Alex Rodriguez,arodriguez@company.com,Coastal Shipping Inc.,Transportation,Maria Gonzalez,Terminal Manager,mgonzalez@coastalshipping.com,555-678-2345,5/20/2024,5/22/2024,Site Assessment,Terminal management system for shipping operations,New Business,LinkedIn,FL,60362,Net 45
5958,OPP-2024-0093,Western Financial Services CRM,Proposal/Price Quote,275000,10/5/2024,65,Michael Chang,mchang@company.com,Western Financial Services,Financial Services,Thomas Davis,Client Relations Director,tdavis@westernfinancial.com,555-345-9012,6/10/2024,6/22/2024,Cost Analysis,Customer relationship management system for financial advisors,New Business,Industry Event,UT,14847,2% 10 Net 30
5959,OPP-2024-0095,Precision Manufacturing Quality System,Negotiation/Review,325000,9/25/2024,85,David Martinez,dmartinez@company.com,Precision Manufacturing Inc.,Manufacturing,Robert Park,Quality Manager,rpark@precisionmfg.com,555-567-1234,6/25/2024,6/28/2024,Contract Finalization,Quality management system for precision manufacturing,New Business,Partner Referral,NV,73270,Net 45
5960,OPP-2024-0010,Parkway Hotels Guest Experience Platform,Perception Analysis,155000,6/22/2024,15,David Martinez,dmartinez@company.com,Parkway Hotels & Resorts,Hospitality,Michael Johnson,Guest Relations Director,mjohnson@parkwayhotels.com,555-012-3456,5/12/2024,5/15/2024,Discovery Meeting,Mobile platform for enhanced guest experience across 25 properties,New Business,Web Demo,WI,77211,2% 10 Net 30
5961,OPP-2024-0013,Evergreen Energy Monitoring Solution,Proposal/Price Quote,195000,7/15/2024,65,Michael Chang,mchang@company.com,Evergreen Energy Corp,Energy,Melissa Chen,Operations Director,mchen@evergreenenergy.com,555-345-9012,4/5/2024,5/14/2024,Technical Demonstration,Energy usage monitoring and optimization system,New Business,Webinar,LA,59991,Net 60
5962,OPP-2024-0093,Western Financial Services CRM,Proposal/Price Quote,275000,10/5/2024,65,Michael Chang,mchang@company.com,Western Financial Services,Financial Services,Thomas Davis,Client Relations Director,tdavis@westernfinancial.com,555-345-9012,6/10/2024,6/22/2024,Cost Analysis,Customer relationship management system for financial advisors,New Business,Industry Event,UT,14847,2% 10 Net 30
5963,OPP-2024-0093,Western Financial Services CRM,Proposal/Price Quote,275000,10/5/2024,65,Michael Chang,mchang@company.com,Western Financial Services,Financial Services,Thomas Davis,Client Relations Director,tdavis@westernfinancial.com,555-345-9012,6/10/2024,6/22/2024,Cost Analysis,Customer relationship management system for financial advisors,New Business,Industry Event,UT,14847,2% 10 Net 30
5964,OPP-2024-0008,Thompson Construction IT Infrastructure,Value Proposition,185000,7/25/2024,40,Michael Chang,mchang@company.com,Thompson Construction,Construction,Daniel Thompson,CEO,dthompson@thompsonconstruction.com,555-890-1234,5/2/2024,5/14/2024,Site Assessment,Complete IT infrastructure for new headquarters building,New Business,LinkedIn,IL,22775,Net 30
5965,OPP-2024-0092,Mountain State Government Portal,Decision Makers,315000,9/20/2024,70,Sarah Johnson,sjohnson@company.com,Mountain State Government,Government,Elizabeth Wilson,IT Director,ewilson@mountainstate.gov,555-234-8901,6/15/2024,6/20/2024,Executive Briefing,Citizen portal with online services and payments,New Business,RFP,MT,68222,Net 60
5966,OPP-2024-0077,Northwest Winery Management Platform,Value Proposition,155000,11/5/2024,45,Sarah Johnson,sjohnson@company.com,Northwest Wine Collective,Food & Beverage,Robert Wilson,Operations Manager,rwilson@northwestwine.com,555-789-3456,5/25/2024,5/30/2024,Site Assessment,Production and inventory management for wine producers,New Business,Industry Event,WI,85585,1% 15 Net 30
5967,OPP-2024-0093,Western Financial Services CRM,Proposal/Price Quote,275000,10/5/2024,65,Michael Chang,mchang@company.com,Western Financial Services,Financial Services,Thomas Davis,Client Relations Director,tdavis@westernfinancial.com,555-345-9012,6/10/2024,6/22/2024,Cost Analysis,Customer relationship management system for financial advisors,New Business,Industry Event,UT,14847,2% 10 Net 30
5968,OPP-2024-0005,Oceanview Healthcare Cloud Migration,Negotiation/Review,320000,6/5/2024,80,David Martinez,dmartinez@company.com,Oceanview Healthcare,Healthcare,Samantha Patel,CTO,spatel@oceanviewhealth.com,555-567-8901,3/15/2024,5/11/2024,Contract Review,Migration of patient records and systems to secure cloud platform,New Business,Partner Referral,WY,94220,Net 45
5969,OPP-2024-0053,Valley School District Learning Management,Proposal/Price Quote,175000,8/15/2024,65,Michael Chang,mchang@company.com,Valley School District,Education,Thomas Rivera,Curriculum Director,trivera@valleyschools.org,555-345-9012,5/1/2024,5/18/2024,District Presentation,Learning management system for K-12 schools,New Business,Education Conference,AZ,18655,Net 60
5970,OPP-2024-0036,Highland Brewery Production Management,Perception Analysis,175000,10/20/2024,15,Alex Rodriguez,arodriguez@company.com,Highland Brewery,Food & Beverage,Daniel Murphy,Production Manager,dmurphy@highlandbrewery.com,555-678-2345,5/18/2024,5/20/2024,Discovery Session,Production management and inventory control system,New Business,Trade Show,NC,45600,2% 10 Net 30
5971,OPP-2024-0028,Seaside Restaurant Chain POS Upgrade,Qualification,95000,9/5/2024,20,Michael Chang,mchang@company.com,Seaside Restaurants Inc.,Food & Beverage,David Chen,Operations Director,dchen@seasiderestaurants.com,555-890-4567,5/12/2024,5/15/2024,Initial Meeting,Point-of-sale system upgrade for 12 restaurant locations,Upgrade,Cold Call,CT,26119,2% 10 Net 30
5972,OPP-2024-0036,Highland Brewery Production Management,Perception Analysis,175000,10/20/2024,15,Alex Rodriguez,arodriguez@company.com,Highland Brewery,Food & Beverage,Daniel Murphy,Production Manager,dmurphy@highlandbrewery.com,555-678-2345,5/18/2024,5/20/2024,Discovery Session,Production management and inventory control system,New Business,Trade Show,NC,45600,2% 10 Net 30
5973,OPP-2024-0026,Western Regional Hospital Network Upgrade,Perception Analysis,475000,10/10/2024,25,Alex Rodriguez,arodriguez@company.com,Western Regional Hospital,Healthcare,Richard Wong,Network Administrator,rwong@westernhospital.org,555-678-2345,5/15/2024,5/18/2024,Technical Assessment,Complete network infrastructure upgrade for multi-location hospital system,Upgrade,Industry Event,OR,59037,Net 60
5974,OPP-2024-0009,Global Foods Supply Chain Solution,Needs Analysis,230000,8/12/2024,25,Emma Wilson,ewilson@company.com,Global Foods Inc.,Food & Beverage,Linda Martinez,Supply Chain Director,lmartinez@globalfoods.com,555-901-2345,5/8/2024,5/15/2024,Requirements Gathering,Supply chain management system with real-time tracking,New Business,Industry Event,SD,45688,2% 10 Net 30
5975,OPP-2024-0010,Parkway Hotels Guest Experience Platform,Perception Analysis,155000,6/22/2024,15,David Martinez,dmartinez@company.com,Parkway Hotels & Resorts,Hospitality,Michael Johnson,Guest Relations Director,mjohnson@parkwayhotels.com,555-012-3456,5/12/2024,5/15/2024,Discovery Meeting,Mobile platform for enhanced guest experience across 25 properties,New Business,Web Demo,WI,77211,2% 10 Net 30
5976,OPP-2024-0075,Advanced Materials Quality Control,Negotiation/Review,235000,8/25/2024,80,David Martinez,dmartinez@company.com,Advanced Materials Inc.,Manufacturing,Jason Park,Quality Director,jpark@advancedmaterials.com,555-567-1234,6/5/2024,5/28/2024,Contract Review,Quality control system for specialized manufacturing,New Business,Trade Show,FL,28336,Net 45
5977,OPP-2024-0045,Summit Manufacturing Automation,Negotiation/Review,325000,7/20/2024,85,David Martinez,dmartinez@company.com,Summit Manufacturing Inc.,Manufacturing,Richard Lee,Production Director,rlee@summitmanufacturing.com,555-567-1234,4/25/2024,5/15/2024,Contract Details,Factory automation system for production line,New Business,Trade Show,VT,81631,Net 45
5978,OPP-2024-0065,Regional Bank Fraud Detection,Negotiation/Review,285000,8/15/2024,90,David Martinez,dmartinez@company.com,Regional Banking Corporation,Financial Services,Elizabeth Wilson,Security Officer,ewilson@regionalbank.com,555-567-1234,5/20/2024,5/25/2024,Final Review,Fraud detection system with AI capabilities,New Business,Webinar,WI,95691,Net 30
5979,OPP-2024-0027,Dynamic Marketing Agency CRM Implementation,Value Proposition,115000,8/18/2024,40,Sarah Johnson,sjohnson@company.com,Dynamic Marketing Group,Marketing,Julia Martinez,Account Director,jmartinez@dynamicmarketing.com,555-789-3456,5/8/2024,5/15/2024,Needs Analysis,Custom CRM implementation with marketing automation integration,New Business,Webinar,SC,40176,Net 60
5980,OPP-2024-0028,Seaside Restaurant Chain POS Upgrade,Qualification,95000,9/5/2024,20,Michael Chang,mchang@company.com,Seaside Restaurants Inc.,Food & Beverage,David Chen,Operations Director,dchen@seasiderestaurants.com,555-890-4567,5/12/2024,5/15/2024,Initial Meeting,Point-of-sale system upgrade for 12 restaurant locations,Upgrade,Cold Call,CT,26119,2% 10 Net 30
5981,OPP-2024-0086,City Transportation Management,Perception Analysis,285000,12/25/2024,25,Alex Rodriguez,arodriguez@company.com,City Transportation Department,Government,Sarah Davis,Transportation Director,sdavis@citytransportation.gov,555-678-2345,6/5/2024,6/10/2024,Discovery Phase,Transportation management system for urban transit,New Business,RFP,AL,75114,Net 60
5982,OPP-2024-0073,State Government Records Management,Proposal/Price Quote,365000,9/15/2024,65,Michael Chang,mchang@company.com,State Government Office,Government,Thomas Garcia,Records Administrator,tgarcia@stategov.gov,555-345-9012,5/15/2024,5/30/2024,Budget Approval,Electronic records management with compliance features,New Business,RFP,OH,85512,Net 60
5983,OPP-2024-0013,Evergreen Energy Monitoring Solution,Proposal/Price Quote,195000,7/15/2024,65,Michael Chang,mchang@company.com,Evergreen Energy Corp,Energy,Melissa Chen,Operations Director,mchen@evergreenenergy.com,555-345-9012,4/5/2024,5/14/2024,Technical Demonstration,Energy usage monitoring and optimization system,New Business,Webinar,LA,59991,Net 60
5984,OPP-2024-0028,Seaside Restaurant Chain POS Upgrade,Qualification,95000,9/5/2024,20,Michael Chang,mchang@company.com,Seaside Restaurants Inc.,Food & Beverage,David Chen,Operations Director,dchen@seasiderestaurants.com,555-890-4567,5/12/2024,5/15/2024,Initial Meeting,Point-of-sale system upgrade for 12 restaurant locations,Upgrade,Cold Call,CT,26119,2% 10 Net 30
5985,OPP-2024-0095,Precision Manufacturing Quality System,Negotiation/Review,325000,9/25/2024,85,David Martinez,dmartinez@company.com,Precision Manufacturing Inc.,Manufacturing,Robert Park,Quality Manager,rpark@precisionmfg.com,555-567-1234,6/25/2024,6/28/2024,Contract Finalization,Quality management system for precision manufacturing,New Business,Partner Referral,NV,73270,Net 45
5986,OPP-2024-0078,Metro Healthcare Network Refresh,Qualification,385000,10/25/2024,25,Michael Chang,mchang@company.com,Metro Healthcare System,Healthcare,Jennifer Davis,IT Director,jdavis@metrohealthcare.org,555-890-4567,5/30/2024,6/2/2024,Technical Evaluation,Network infrastructure refresh for 8 medical facilities,Upgrade,Healthcare Conference,SD,38280,Net 60
5987,OPP-2024-0013,Evergreen Energy Monitoring Solution,Proposal/Price Quote,195000,7/15/2024,65,Michael Chang,mchang@company.com,Evergreen Energy Corp,Energy,Melissa Chen,Operations Director,mchen@evergreenenergy.com,555-345-9012,4/5/2024,5/14/2024,Technical Demonstration,Energy usage monitoring and optimization system,New Business,Webinar,LA,59991,Net 60
5988,OPP-2024-0042,Riverdale Healthcare Analytics Platform,Decision Makers,215000,7/15/2024,75,Sarah Johnson,sjohnson@company.com,Riverdale Healthcare,Healthcare,Elizabeth Moore,Analytics Director,emoore@riverdalehealthcare.org,555-234-8901,4/20/2024,5/15/2024,Final Presentation,Healthcare analytics platform for patient outcomes optimization,New Business,Conference,ND,86343,Net 45
5989,OPP-2024-0077,Northwest Winery Management Platform,Value Proposition,155000,11/5/2024,45,Sarah Johnson,sjohnson@company.com,Northwest Wine Collective,Food & Beverage,Robert Wilson,Operations Manager,rwilson@northwestwine.com,555-789-3456,5/25/2024,5/30/2024,Site Assessment,Production and inventory management for wine producers,New Business,Industry Event,WI,85585,1% 15 Net 30
5990,OPP-2024-0025,Golden State Credit Union Digital Banking,Negotiation/Review,310000,6/15/2024,85,David Martinez,dmartinez@company.com,Golden State Credit Union,Financial Services,Nancy Lee,Digital Banking Director,nlee@goldenstatecu.org,555-567-1234,3/20/2024,5/15/2024,Legal Review,Digital banking platform upgrade with enhanced security features,Upgrade,Existing Customer,CO,25015,2% 10 Net 30
5991,OPP-2024-0077,Northwest Winery Management Platform,Value Proposition,155000,11/5/2024,45,Sarah Johnson,sjohnson@company.com,Northwest Wine Collective,Food & Beverage,Robert Wilson,Operations Manager,rwilson@northwestwine.com,555-789-3456,5/25/2024,5/30/2024,Site Assessment,Production and inventory management for wine producers,New Business,Industry Event,WI,85585,1% 15 Net 30
5992,OPP-2024-0078,Metro Healthcare Network Refresh,Qualification,385000,10/25/2024,25,Michael Chang,mchang@company.com,Metro Healthcare System,Healthcare,Jennifer Davis,IT Director,jdavis@metrohealthcare.org,555-890-4567,5/30/2024,6/2/2024,Technical Evaluation,Network infrastructure refresh for 8 medical facilities,Upgrade,Healthcare Conference,SD,38280,Net 60
5993,OPP-2024-0030,Valley Agricultural Cooperative System,Needs Analysis,185000,8/25/2024,35,David Martinez,dmartinez@company.com,Valley Agricultural Cooperative,Agriculture,Thomas Garcia,Executive Director,tgarcia@valleyagcoop.org,555-012-6789,5/5/2024,5/14/2024,Site Visits,Integrated management system for agricultural cooperative,New Business,Trade Show,WA,35519,Net 60
5994,OPP-2024-0004,GreenLeaf Retail POS System,Qualification,75000,7/10/2024,20,Emma Wilson,ewilson@company.com,GreenLeaf Retail,Retail,Robert Green,Operations Manager,rgreen@greenleaf.com,555-456-7890,5/10/2024,5/12/2024,Initial Meeting,New point-of-sale system deployment across 12 retail locations,New Business,Website,IL,45713,Net 30
5995,OPP-2024-0037,Midwest School District Technology Refresh,Value Proposition,420000,11/15/2024,45,Sarah Johnson,sjohnson@company.com,Midwest School District,Education,Patricia Wilson,Technology Director,pwilson@midwestschools.org,555-789-3456,5/15/2024,5/18/2024,Budget Analysis,Technology refresh for 12 schools including hardware and software,New Business,Email Campaign,MD,98700,Net 60
5996,OPP-2024-0047,University Research Database,Value Proposition,165000,10/5/2024,40,Sarah Johnson,sjohnson@company.com,University Research Foundation,Education,William Chen,Research Director,wchen@universityresearch.edu,555-789-3456,5/15/2024,5/18/2024,Capability Demo,Research database with collaboration tools for multi-institution projects,New Business,Conference,NY,52791,Net 60
5997,OPP-2024-0046,Coastal Shipping Terminal Management,Perception Analysis,275000,11/10/2024,20,Alex Rodriguez,arodriguez@company.com,Coastal Shipping Inc.,Transportation,Maria Gonzalez,Terminal Manager,mgonzalez@coastalshipping.com,555-678-2345,5/20/2024,5/22/2024,Site Assessment,Terminal management system for shipping operations,New Business,LinkedIn,FL,60362,Net 45
5998,OPP-2024-0092,Mountain State Government Portal,Decision Makers,315000,9/20/2024,70,Sarah Johnson,sjohnson@company.com,Mountain State Government,Government,Elizabeth Wilson,IT Director,ewilson@mountainstate.gov,555-234-8901,6/15/2024,6/20/2024,Executive Briefing,Citizen portal with online services and payments,New Business,RFP,MT,68222,Net 60
5999,OPP-2024-0086,City Transportation Management,Perception Analysis,285000,12/25/2024,25,Alex Rodriguez,arodriguez@company.com,City Transportation Department,Government,Sarah Davis,Transportation Director,sdavis@citytransportation.gov,555-678-2345,6/5/2024,6/10/2024,Discovery Phase,Transportation management system for urban transit,New Business,RFP,AL,75114,Net 60
6000,OPP-2024-0011,NextGen Biotech Lab Systems,Decision Makers,275000,6/30/2024,70,Alex Rodriguez,arodriguez@company.com,NextGen Biotech,Biotechnology,Sarah Williams,Lab Director,swilliams@nextgenbio.com,555-123-7890,3/25/2024,5/14/2024,Executive Approval,Advanced laboratory information management systems,New Business,Trade Show,ND,93310,1% 15 Net 30
6001,OPP-2024-0001,Enterprise Security Solution Implementation,Needs Analysis,125000,5/20/2024,30,Alex Rodriguez,arodriguez@company.com,Pinnacle Technologies,Technology,Martin Chen,IT Director,mchen@pinnacle-tech.com,555-123-4567,5/5/2024,5/10/2024,Technical Demo,Enterprise-wide security implementation for all 8 office locations,New Business,Trade Show,NJ,84641,1% 15 Net 30
6002,OPP-2024-0063,Central State University IT Infrastructure,Proposal/Price Quote,425000,9/5/2024,60,Michael Chang,mchang@company.com,Central State University,Education,Jennifer Lee,IT Director,jlee@centralstate.edu,555-345-9012,5/10/2024,5/24/2024,Budget Committee,IT infrastructure upgrade for main campus,New Business,Education Conference,KS,49306,Net 60
6003,OPP-2024-0035,Pacific Shipping Logistics Platform,Negotiation/Review,265000,7/10/2024,80,David Martinez,dmartinez@company.com,Pacific Shipping Company,Transportation,Karen Lee,Logistics Director,klee@pacificshipping.com,555-567-1234,4/15/2024,5/15/2024,Contract Review,Logistics management platform with real-time tracking,New Business,Partner Referral,KY,83485,Net 45
6004,OPP-2024-0050,Horizon Energy Monitoring Solution,Needs Analysis,255000,9/20/2024,35,David Martinez,dmartinez@company.com,Horizon Energy Corporation,Energy,Michelle Wong,Operations Manager,mwong@horizonenergy.com,555-012-6789,5/15/2024,5/20/2024,Requirements Analysis,Energy usage monitoring and optimization system,New Business,Industry Event,PA,33815,Net 45
6005,OPP-2024-0100,Eastern Manufacturing ERP System,Needs Analysis,375000,11/30/2024,30,David Martinez,dmartinez@company.com,Eastern Manufacturing Inc.,Manufacturing,Sarah Lee,Operations Director,slee@easternmfg.com,555-012-6789,6/25/2024,6/30/2024,Requirements Gathering,Enterprise resource planning system with supply chain integration,New Business,Industry EventOPP-2024-0081,SC,79305,2% 10 Net 30
6006,OPP-2024-0073,State Government Records Management,Proposal/Price Quote,365000,9/15/2024,65,Michael Chang,mchang@company.com,State Government Office,Government,Thomas Garcia,Records Administrator,tgarcia@stategov.gov,555-345-9012,5/15/2024,5/30/2024,Budget Approval,Electronic records management with compliance features,New Business,RFP,OH,85512,Net 60
6007,OPP-2024-0015,Fresh Harvest Inventory Management,Decision Makers,135000,6/10/2024,75,David Martinez,dmartinez@company.com,Fresh Harvest Foods,Food & Beverage,Elizabeth Brown,Inventory Manager,ebrown@freshharvestfoods.com,555-567-1234,4/20/2024,5/12/2024,Final Presentation,Real-time inventory management system for perishable goods,New Business,Industry Event,IN,60947,2% 10 Net 30
6008,OPP-2024-0093,Western Financial Services CRM,Proposal/Price Quote,275000,10/5/2024,65,Michael Chang,mchang@company.com,Western Financial Services,Financial Services,Thomas Davis,Client Relations Director,tdavis@westernfinancial.com,555-345-9012,6/10/2024,6/22/2024,Cost Analysis,Customer relationship management system for financial advisors,New Business,Industry Event,UT,14847,2% 10 Net 30
6009,OPP-2024-0092,Mountain State Government Portal,Decision Makers,315000,9/20/2024,70,Sarah Johnson,sjohnson@company.com,Mountain State Government,Government,Elizabeth Wilson,IT Director,ewilson@mountainstate.gov,555-234-8901,6/15/2024,6/20/2024,Executive Briefing,Citizen portal with online services and payments,New Business,RFP,MT,68222,Net 60
6010,OPP-2024-0058,Pacific Northwest Timber Tracking,Qualification,185000,10/5/2024,25,Michael Chang,mchang@company.com,Pacific Northwest Timber,Forestry,Robert Green,Operations Director,rgreen@pnwtimber.com,555-890-4567,5/25/2024,5/28/2024,Site Visit,Timber tracking and inventory management system,New Business,Industry Event,MS,91500,Net 30
6011,OPP-2024-0087,Alpine Resorts Booking System,Value Proposition,165000,11/15/2024,40,Sarah Johnson,sjohnson@company.com,Alpine Resorts Group,Hospitality,Michael Torres,Reservations Manager,mtorres@alpineresorts.com,555-789-3456,6/10/2024,6/15/2024,Demo Session,Reservation and property management system for ski resorts,New Business,Trade Show,WV,56465,Net 45
6012,OPP-2024-0027,Dynamic Marketing Agency CRM Implementation,Value Proposition,115000,8/18/2024,40,Sarah Johnson,sjohnson@company.com,Dynamic Marketing Group,Marketing,Julia Martinez,Account Director,jmartinez@dynamicmarketing.com,555-789-3456,5/8/2024,5/15/2024,Needs Analysis,Custom CRM implementation with marketing automation integration,New Business,Webinar,SC,40176,Net 60
