Sales Order,Opportunity_ID,Opportunity_Name,Stage,Amount,Close_Date,Probability,Sales_Person,Sales_Person_Email,Company_Name,Company_Industry,Contact_Name,Contact_Title,Contact_Email,Contact_Phone,Created_Date,Last_Modified_Date,Next_Step,Description,Type,Lead_Source,State,Zip_Code,Payment_Terms
5786,OPP-2024-0013,Evergreen Energy Monitoring Solution,Proposal/Price Quote,195000,7/15/2024,65,Michael Chang,mchang@company.com,Evergreen Energy Corp,Energy,Melissa Chen,Operations Director,mchen@evergreenenergy.com,555-345-9012,4/5/2024,5/14/2024,Technical Demonstration,Energy usage monitoring and optimization system,New Business,Webinar,LA,59991,Net 60
5787,OPP-2024-0014,Urban Planning Department Data Analysis,Closed Won,88000,5/15/2024,100,Emma Wilson,ewilson@company.com,City of Westlake,Government,Christopher Lee,Urban Planning Director,clee@westlakegov.org,555-456-0123,3/10/2024,5/15/2024,Implementation,Data analysis tools for urban development planning,New Business,RFP,WI,41676,Net 60
5788,OPP-2024-0015,Fresh Harvest Inventory Management,Decision Makers,135000,6/10/2024,75,David Martinez,dmartinez@company.com,Fresh Harvest Foods,Food & Beverage,Elizabeth Brown,Inventory Manager,ebrown@freshharvestfoods.com,555-567-1234,4/20/2024,5/12/2024,Final Presentation,Real-time inventory management system for perishable goods,New Business,Industry Event,IN,60947,2% 10 Net 30
5789,OPP-2024-0016,Riverway Insurance Claims Processing,Perception Analysis,215000,8/20/2024,20,Alex Rodriguez,arodriguez@company.com,Riverway Insurance Group,Insurance,Robert Taylor,Claims Director,rtaylor@riverwayinsurance.com,555-678-2345,5/10/2024,5/15/2024,Requirements Workshop,Automated claims processing system with AI capabilities,New Business,Cold Call,MA,87497,1% 15 Net 30
5790,OPP-2024-0017,Metropolitan University IT Support Contract,Qualification,320000,9/15/2024,35,Sarah Johnson,sjohnson@company.com,Metropolitan University,Education,Jennifer Adams,IT Director,jadams@metrouniversity.edu,555-789-3456,5/7/2024,5/14/2024,Campus Visit,3-year IT support contract for main and satellite campuses,New Business,Referral,NE,64696,Net 60
5791,OPP-2024-0018,Sunshine Resorts Property Management System,Value Proposition,175000,7/5/2024,45,Michael Chang,mchang@company.com,Sunshine Resorts & Spa,Hospitality,Kevin Wong,Property Manager,kwong@sunshineresorts.com,555-890-4567,4/30/2024,5/13/2024,Demo Preparation,Integrated property management system for 8 resort locations,New Business,Partner Referral,RI,90638,Net 45
5792,OPP-2024-0019,Clear Vision Optical Retail Solution,Closed Won,65000,5/18/2024,100,Emma Wilson,ewilson@company.com,Clear Vision Optical,Retail,Amanda Garcia,Retail Operations,agarcia@clearvision.com,555-901-5678,4/15/2024,5/18/2024,Deployment,Retail management solution for optical chain with 15 locations,New Business,Website,SD,18262,Net 30
5793,OPP-2024-0020,Premier Auto Dealer Management System,Needs Analysis,225000,8/5/2024,30,David Martinez,dmartinez@company.com,Premier Auto Group,Automotive,Jason Williams,General Manager,jwilliams@premierauto.com,555-012-6789,5/1/2024,5/14/2024,Requirements Gathering,Comprehensive dealer management system for new and used vehicle sales,New Business,Industry Event,CT,77321,2% 10 Net 30
5794,OPP-2024-0021,Creative Media Production Workflow,Closed Lost,78000,6/1/2024,0,Alex Rodriguez,arodriguez@company.com,Creative Media Productions,Media,Sophia Miller,Production Manager,smiller@creativemedia.com,555-123-7890,3/15/2024,6/1/2024,Competitor Analysis,Digital asset management and workflow system - lost to in-house solution,New Business,LinkedIn,OH,31772,Net 45
5795,OPP-2024-0022,Elite Sports Performance Analytics,Decision Makers,145000,6/25/2024,70,Sarah Johnson,sjohnson@company.com,Elite Sports Academy,Sports,Marcus Johnson,Performance Director,mjohnson@elitesports.org,555-234-8901,4/10/2024,5/15/2024,Executive Demo,Athletic performance analytics platform for training optimization,New Business,Trade Show,KS,41363,1% 15 Net 30
5796,OPP-2024-0023,Harbor Logistics Fleet Management,Proposal/Price Quote,235000,7/30/2024,60,Michael Chang,mchang@company.com,Harbor Logistics,Transportation,Rebecca Torres,Operations Manager,rtorres@harborlogistics.com,555-345-9012,4/25/2024,5/14/2024,ROI Analysis,Fleet management and route optimization solution for 120 vehicles,New Business,Webinar,FL,58016,Net 45
5797,OPP-2024-0024,Sunset Retirement Communities Security,Closed Won,92000,6/5/2024,100,Emma Wilson,ewilson@company.com,Sunset Retirement Communities,Healthcare,William Davis,Facilities Director,wdavis@sunsetretirement.org,555-456-0123,5/1/2024,6/5/2024,Implementation,Security system upgrade for six retirement facilities,New Business,Referral,WV,19802,Net 60
5798,OPP-2024-0025,Golden State Credit Union Digital Banking,Negotiation/Review,310000,6/15/2024,85,David Martinez,dmartinez@company.com,Golden State Credit Union,Financial Services,Nancy Lee,Digital Banking Director,nlee@goldenstatecu.org,555-567-1234,3/20/2024,5/15/2024,Legal Review,Digital banking platform upgrade with enhanced security features,Upgrade,Existing Customer,CO,25015,2% 10 Net 30
5799,OPP-2024-0026,Western Regional Hospital Network Upgrade,Perception Analysis,475000,10/10/2024,25,Alex Rodriguez,arodriguez@company.com,Western Regional Hospital,Healthcare,Richard Wong,Network Administrator,rwong@westernhospital.org,555-678-2345,5/15/2024,5/18/2024,Technical Assessment,Complete network infrastructure upgrade for multi-location hospital system,Upgrade,Industry Event,OR,59037,Net 60
5800,OPP-2024-0027,Dynamic Marketing Agency CRM Implementation,Value Proposition,115000,8/18/2024,40,Sarah Johnson,sjohnson@company.com,Dynamic Marketing Group,Marketing,Julia Martinez,Account Director,jmartinez@dynamicmarketing.com,555-789-3456,5/8/2024,5/15/2024,Needs Analysis,Custom CRM implementation with marketing automation integration,New Business,Webinar,SC,40176,Net 60
5801,OPP-2024-0028,Seaside Restaurant Chain POS Upgrade,Qualification,95000,9/5/2024,20,Michael Chang,mchang@company.com,Seaside Restaurants Inc.,Food & Beverage,David Chen,Operations Director,dchen@seasiderestaurants.com,555-890-4567,5/12/2024,5/15/2024,Initial Meeting,Point-of-sale system upgrade for 12 restaurant locations,Upgrade,Cold Call,CT,26119,2% 10 Net 30
5802,OPP-2024-0029,Heritage Museum Virtual Tour Platform,Closed Won,68000,6/10/2024,100,Emma Wilson,ewilson@company.com,Heritage Museum Foundation,Non-profit,Margaret Wilson,Exhibitions Director,mwilson@heritagemuseum.org,555-901-5678,4/15/2024,6/10/2024,Launch Planning,Virtual tour platform with interactive exhibits for online visitors,New Business,Conference,NY,89988,1% 15 Net 30
5803,OPP-2024-0030,Valley Agricultural Cooperative System,Needs Analysis,185000,8/25/2024,35,David Martinez,dmartinez@company.com,Valley Agricultural Cooperative,Agriculture,Thomas Garcia,Executive Director,tgarcia@valleyagcoop.org,555-012-6789,5/5/2024,5/14/2024,Site Visits,Integrated management system for agricultural cooperative,New Business,Trade Show,WA,35519,Net 60
